
,Drug_ID,Keep,Opioid,Form,Route,Brand,MED_per_dispensing_unit,No_tabs/ml assuming 50 MED limit per day,No_tabs/ml assuming 90 MED limit per day,Maximum No_tabs/ml assuming 50 MED limit for 7 days,Maximum No_tabs/ml assuming 50 MED limit for 14 days,Maximum No_tabs/ml assuming 50 MED limit for 30 days,Status1
106,1966375,NA,CODEINE PHOSPHATE 32.4 MG,TABLET,ORAL,METHOXISAL-C 1/2,4.86,10,19,70,140,300,CANCELLED POST MARKET
23,477672,Keep,CODEINE PHOSPHATE 60 MG,TABLET,ORAL,ROUNOX CODEINE 60 TAB,9,6,10,42,84,180,CANCELLED POST MARKET
46,621463,Keep,CODEINE PHOSPHATE 60 MG,TABLET,ORAL,TEVA-LENOLTEC NO. 4,9,6,10,42,84,180,APPROVED
114,1999656,Keep,CODEINE PHOSPHATE 60 MG,TABLET,ORAL,ACET CODEINE 60,9,6,10,42,84,180,CANCELLED POST MARKET
149,2163918,Keep,CODEINE PHOSPHATE 60 MG,TABLET,ORAL,TYLENOL WITH CODEINE NO. 4,9,6,10,42,84,180,MARKETED
230,2254263,Keep,CODEINE PHOSPHATE 60 MG,TABLET,ORAL,PHL-ACET-CODEINE 60,9,6,10,42,84,180,CANCELLED POST MARKET
85,1909304,NA,CODEINE PHOSPHATE 64.8 MG,CAPSULE,ORAL,PHENAPHEN NO 4 CAP,9.72,5,9,35,70,150,CANCELLED POST MARKET
250,2298708,NA,CODEINE PHOSPHATE 8 MG,ELIXIR,ORAL,ACETAMINOPHEN ELIXIR WITH 8MG CODEINE PHOSPHATE SYRUP,0.32,156,281,1092,2184,4680,APPROVED
3,95494,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,"ACETYLSALICYLIC ACID, CAFFEINE AND 8MG CODEINE PHOSPHATE",1.2,42,75,294,588,1260,DORMANT
5,108162,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,222 TABLETS,1.2,42,75,294,588,1260,CANCELLED POST MARKET
11,180041,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,A.C. & C 8MG TAB,1.2,42,75,294,588,1260,MARKETED
15,293490,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,ATASOL 8,1.2,42,75,294,588,1260,CANCELLED POST MARKET
34,599131,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,ACETAMINOPHEN COMPOUND TABLETS WITH CODEINE 8MG,1.2,42,75,294,588,1260,CANCELLED POST MARKET
44,615528,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,NOVO-GESIC-C8,1.2,42,75,294,588,1260,CANCELLED POST MARKET
45,617059,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,ACETAMINOPHEN 500 MG COMPOUND TABLETS WITH CODEINE,1.2,42,75,294,588,1260,CANCELLED POST MARKET
54,653233,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,RATIO-LENOLTEC NO 1,1.2,42,75,294,588,1260,MARKETED
58,688851,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,AC&C TABLETS,1.2,42,75,294,588,1260,CANCELLED POST MARKET
68,706221,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,ACETAMINOPHEN 325 MG WITH 15 MG CAFFEINE AND 8 MG CODEINE PHOSPHATE,1.2,42,75,294,588,1260,MARKETED
70,708712,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,ACETAMINOPHEN 500 MG WITH 15 MG CAFFEINE AND 8 MG CODEINE PHOSPHATE,1.2,42,75,294,588,1260,CANCELLED POST MARKET
78,834319,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,ACETAZONE FORTE C8,1.2,42,75,294,588,1260,MARKETED
79,852163,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,TRIATEC-8,1.2,42,75,294,588,1260,MARKETED
95,1922246,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,A.C.& C TABLETS,1.2,42,75,294,588,1260,DORMANT
96,1934767,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,ROBAXACET-8,1.2,42,75,294,588,1260,MARKETED
97,1934775,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,ROBAXISAL C-1/8 TABLETS,1.2,42,75,294,588,1260,CANCELLED POST MARKET
104,1941895,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,METHOXISAL-C 1/8,1.2,42,75,294,588,1260,DORMANT
108,1977881,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,TRIATEC-8 FORT,1.2,42,75,294,588,1260,DORMANT
134,2025337,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,"ACETAMINOPHEN, CAFFEINE & CODEINE",1.2,42,75,294,588,1260,MARKETED
135,2028174,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,"ACETAMINOPHEN, CAFFEINE & CODEINE",1.2,42,75,294,588,1260,MARKETED
136,2047667,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,MERSYNDOL WITH CODEINE,1.2,42,75,294,588,1260,MARKETED
144,2143933,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,ACETAMINOPHEN WITH CODEINE - CAPLET,1.2,42,75,294,588,1260,MARKETED
145,2154234,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,ACETAMINOPHEN 300 MG WITH 15 MG CAFFEINE AND 8 MG CODEINE PHOSPHATE,1.2,42,75,294,588,1260,MARKETED
155,2181061,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,TYLENOL NO.1 CAPLETS,1.2,42,75,294,588,1260,CANCELLED POST MARKET
156,2181088,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,TYLENOL NO.1 FORTE CAPLETS,1.2,42,75,294,588,1260,CANCELLED POST MARKET
173,2236871,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,"(EXTRA STRENGTH) ACETAMINOPHEN, CAFFEINE & 8MG CODEINE PHOSPHATE CAPLETS",1.2,42,75,294,588,1260,CANCELLED POST MARKET
174,2236872,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,METHOXACET-C 1/8,1.2,42,75,294,588,1260,CANCELLED POST MARKET
175,2237578,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,SPASMHALT-8,1.2,42,75,294,588,1260,MARKETED
176,2237580,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,SPASMHALT-ASA-8,1.2,42,75,294,588,1260,CANCELLED POST MARKET
178,2238670,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,C-2 BUFFERED WITH CODEINE,1.2,42,75,294,588,1260,CANCELLED POST MARKET
183,2242180,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,MUSCLE & BACK PAIN RELIEF - 8,1.2,42,75,294,588,1260,MARKETED
198,2245670,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,A.C. & C. 8 MG,1.2,42,75,294,588,1260,APPROVED
203,2246085,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,"ACETAMINOPHEN, CAFFEINE & 8MG CODEINE PHOSPHATE TABLETS",1.2,42,75,294,588,1260,DORMANT
204,2246103,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,"ACETYLSALICYLIC ACID, CAFFEINE & 8 MG CODEINE PHOSPHATE TABLETS",1.2,42,75,294,588,1260,DORMANT
215,2248817,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,"ACETAMINOPHEN, CAFFEINE AND 8 MG OF CODEINE PHOSPHATE TABLETS",1.2,42,75,294,588,1260,DORMANT
216,2248977,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,MUSCLE AND BACK PAIN RELIEF-8,1.2,42,75,294,588,1260,DORMANT
223,2250551,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,MUSCLE AND BACK PAIN RELIEF - 8 TABLETS,1.2,42,75,294,588,1260,DORMANT
224,2250683,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,ASA-CAFFEINE-CODEINE,1.2,42,75,294,588,1260,APPROVED
232,2254700,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,ACETAMINOPHEN-CAFFEINE-CODEINE,1.2,42,75,294,588,1260,APPROVED
237,2265052,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,APO-ACETACO #1,1.2,42,75,294,588,1260,APPROVED
238,2277816,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,"ACETAMINOPHEN 300MG, CAFFEINE & CODEINE",1.2,42,75,294,588,1260,APPROVED
423,2453703,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,WAMPOLE-ACETAMINOPHEN/CODEINE/CAFFEINE,1.2,42,75,294,588,1260,MARKETED
77,816027,NA,CODEINE PHOSPHATE 8 MG,ELIXIR,ORAL,PMS-ACETAMINOPHEN WITH CODEINE ELIXIR,1.6,208,375,1456,2912,6240,MARKETED
152,2163942,NA,CODEINE PHOSPHATE 8 MG,ELIXIR,ORAL,TYLENOL WITH CODEINE ELIXIR,1.6,208,375,1456,2912,6240,CANCELLED POST MARKET
1,10081,NA,DEXTROPROPOXYPHENE HYDROCHLORIDE 65 MG,TABLET,ORAL,642 TAB,19.5,3,5,21,42,90,CANCELLED POST MARKET
4,108146,NA,DEXTROPROPOXYPHENE HYDROCHLORIDE 65 MG,TABLET,ORAL,692 TAB,19.5,3,5,21,42,90,CANCELLED POST MARKET
8,151351,NA,DEXTROPROPOXYPHENE HYDROCHLORIDE 65 MG,CAPSULE,ORAL,NOVO-PROPOXYN CAP 65MG,19.5,3,5,21,42,90,CANCELLED POST MARKET
171,2234509,NA,DEXTROPROPOXYPHENE HYDROCHLORIDE 65 MG,TABLET,ORAL,692 TABLET,19.5,3,5,21,42,90,CANCELLED POST MARKET
13,261432,NA,DEXTROPROPOXYPHENE NAPSYLATE 100 MG,CAPSULE,ORAL,DARVON-N,19.5,3,5,21,42,90,CANCELLED POST MARKET
14,261459,NA,DEXTROPROPOXYPHENE NAPSYLATE 100 MG,CAPSULE,ORAL,DARVON N COMPOUND PULVULE 405,19.5,3,5,21,42,90,CANCELLED POST MARKET
66,705438,Keep,HYDROMORPHONE HYDROCHLORIDE 1 MG,TABLET,ORAL,DILAUDID,5,10,18,70,140,300,MARKETED
83,885444,Keep,HYDROMORPHONE HYDROCHLORIDE 1 MG,TABLET,ORAL,PMS-HYDROMORPHONE TAB 1MG,5,10,18,70,140,300,MARKETED
86,1916386,Keep,HYDROMORPHONE HYDROCHLORIDE 1 MG,SYRUP,ORAL,PMS HYDROMORPHONE SIROP 1MG/ML,5,2,4,14,28,60,MARKETED
160,2192101,Keep,HYDROMORPHONE HYDROCHLORIDE 1 MG,TABLET,ORAL,HYDROMORPHONE,5,10,18,70,140,300,CANCELLED POST MARKET
274,2319403,Keep,HYDROMORPHONE HYDROCHLORIDE 1 MG,TABLET,ORAL,TEVA-HYDROMORPHONE,5,10,18,70,140,300,MARKETED
340,2364115,Keep,HYDROMORPHONE HYDROCHLORIDE 1 MG,TABLET,ORAL,APO-HYDROMORPHONE,5,10,18,70,140,300,MARKETED
143,2138018,NA,MEPERIDINE HYDROCHLORIDE 50 MG,TABLET,ORAL,DEMEROL,5,10,18,70,140,300,MARKETED
205,2247374,NA,METHADONE HYDROCHLORIDE 1 MG,SOLUTION,ORAL,METADOL-D,Couldn't be calculated,NA,NA,NA,NA,NA,MARKETED
206,2247693,NA,METHADONE HYDROCHLORIDE 1 MG,TABLET,ORAL,METADOL-D,Couldn't be calculated,NA,NA,NA,NA,NA,APPROVED
207,2247694,NA,METHADONE HYDROCHLORIDE 1 MG,SOLUTION,ORAL,METADOL,Couldn't be calculated,NA,NA,NA,NA,NA,MARKETED
211,2247698,NA,METHADONE HYDROCHLORIDE 1 MG,TABLET,ORAL,METADOL,Couldn't be calculated,NA,NA,NA,NA,NA,MARKETED
371,2388383,NA,METHADONE HYDROCHLORIDE 1 MG,TABLET,ORAL,PMS-METHADONE,Couldn't be calculated,NA,NA,NA,NA,NA,APPROVED
181,2241377,NA,METHADONE HYDROCHLORIDE 10 MG,SOLUTION,ORAL,METADOL,Couldn't be calculated,NA,NA,NA,NA,NA,MARKETED
189,2244290,NA,METHADONE HYDROCHLORIDE 10 MG,SOLUTION,ORAL,METADOL-D,Couldn't be calculated,NA,NA,NA,NA,NA,MARKETED
209,2247696,NA,METHADONE HYDROCHLORIDE 10 MG,TABLET,ORAL,METADOL-D,Couldn't be calculated,NA,NA,NA,NA,NA,APPROVED
213,2247700,NA,METHADONE HYDROCHLORIDE 10 MG,TABLET,ORAL,METADOL,Couldn't be calculated,NA,NA,NA,NA,NA,MARKETED
373,2388405,NA,METHADONE HYDROCHLORIDE 10 MG,TABLET,ORAL,PMS-METHADONE,Couldn't be calculated,NA,NA,NA,NA,NA,APPROVED
383,2394596,NA,METHADONE HYDROCHLORIDE 10 MG,SOLUTION,ORAL,METHADOSE,Couldn't be calculated,NA,NA,NA,NA,NA,MARKETED
384,2394618,NA,METHADONE HYDROCHLORIDE 10 MG,SOLUTION,ORAL,METHADOSE,Couldn't be calculated,NA,NA,NA,NA,NA,MARKETED
452,2481979,NA,METHADONE HYDROCHLORIDE 10 MG,SOLUTION,ORAL,METHADONE HYDROCHLORIDE ORAL CONCENTRATE USP,Couldn't be calculated,NA,NA,NA,NA,NA,APPROVED
210,2247697,NA,METHADONE HYDROCHLORIDE 25 MG,TABLET,ORAL,METADOL-D,Couldn't be calculated,NA,NA,NA,NA,NA,APPROVED
214,2247701,NA,METHADONE HYDROCHLORIDE 25 MG,TABLET,ORAL,METADOL,Couldn't be calculated,NA,NA,NA,NA,NA,MARKETED
374,2388413,NA,METHADONE HYDROCHLORIDE 25 MG,TABLET,ORAL,PMS-METHADONE,Couldn't be calculated,NA,NA,NA,NA,NA,APPROVED
208,2247695,NA,METHADONE HYDROCHLORIDE 5 MG,TABLET,ORAL,METADOL-D,Couldn't be calculated,NA,NA,NA,NA,NA,APPROVED
212,2247699,NA,METHADONE HYDROCHLORIDE 5 MG,TABLET,ORAL,METADOL,Couldn't be calculated,NA,NA,NA,NA,NA,MARKETED
372,2388391,NA,METHADONE HYDROCHLORIDE 5 MG,TABLET,ORAL,PMS-METHADONE,Couldn't be calculated,NA,NA,NA,NA,NA,APPROVED
24,486582,Keep,MORPHINE HYDROCHLORIDE 1 MG,SYRUP,ORAL,M.O.S. SYRUP 1.0 MG/ML,1,50,90,350,700,1500,CANCELLED POST MARKET
35,607762,Keep,MORPHINE HYDROCHLORIDE 1 MG,SYRUP,ORAL,RATIO-MORPHINE,1,50,90,350,700,1500,CANCELLED POST MARKET
42,614491,Keep,MORPHINE HYDROCHLORIDE 1 MG,SYRUP,ORAL,DOLORAL 1,1,50,90,350,700,1500,MARKETED
51,632503,NA,MORPHINE HYDROCHLORIDE 10 MG,SYRUP,ORAL,M.O.S. 10 SYRUP 10MG/ML,10,5,9,35,70,150,CANCELLED POST MARKET
59,690198,Keep,MORPHINE HYDROCHLORIDE 10 MG,TABLET,ORAL,M.O.S. 10 TABLETS 10MG,10,5,9,35,70,150,CANCELLED POST MARKET
64,690783,NA,MORPHINE HYDROCHLORIDE 10 MG,SYRUP,ORAL,RATIO-MORPHINE,10,5,9,35,70,150,CANCELLED POST MARKET
50,632481,NA,MORPHINE HYDROCHLORIDE 20 MG,SYRUP,ORAL,M.O.S. 20 CONCENTRATE 20MG/ML,20,2,4,14,28,60,CANCELLED POST MARKET
60,690201,NA,MORPHINE HYDROCHLORIDE 20 MG,TABLET,ORAL,M.O.S.-20 TAB 20MG,20,2,4,14,28,60,CANCELLED POST MARKET
65,690791,NA,MORPHINE HYDROCHLORIDE 20 MG,SYRUP,ORAL,RATIO-MORPHINE,20,2,4,14,28,60,CANCELLED POST MARKET
71,776181,NA,MORPHINE HYDROCHLORIDE 30 MG,TABLET (EXTENDED-RELEASE),ORAL,M.O.S. SR TABLETS 30MG,30,2,3,14,28,60,CANCELLED POST MARKET
61,690228,NA,MORPHINE HYDROCHLORIDE 40 MG,TABLET,ORAL,M.O.S.-40 TAB 40MG,40,1,2,7,14,30,CANCELLED POST MARKET
25,514217,Keep,MORPHINE HYDROCHLORIDE 5 MG,SYRUP,ORAL,M.O.S. SYRUP 5MG/ML,5,10,18,70,140,300,CANCELLED POST MARKET
36,607770,Keep,MORPHINE HYDROCHLORIDE 5 MG,SYRUP,ORAL,RATIO-MORPHINE,5,10,18,70,140,300,CANCELLED POST MARKET
43,614505,Keep,MORPHINE HYDROCHLORIDE 5 MG,SYRUP,ORAL,DOLORAL 5 SIROP 5MG/ML,5,10,18,70,140,300,MARKETED
62,690236,NA,MORPHINE HYDROCHLORIDE 50 MG,SYRUP,ORAL,M.O.S.-50 CONCENTRATE LIQ 50MG/ML,50,1,2,7,14,30,CANCELLED POST MARKET
63,690244,NA,MORPHINE HYDROCHLORIDE 60 MG,TABLET,ORAL,M.O.S.-60 TAB 60MG,60,1,2,7,14,30,CANCELLED POST MARKET
72,776203,NA,MORPHINE HYDROCHLORIDE 60 MG,TABLET (EXTENDED-RELEASE),ORAL,M.O.S. SR TABLETS 60MG,60,1,2,7,14,30,CANCELLED POST MARKET
26,591467,Keep,MORPHINE SULFATE 1 MG,SYRUP,ORAL,STATEX SYRUP 1MG/ML,1,50,90,350,700,1500,MARKETED
31,594644,Keep,MORPHINE SULFATE 10 MG,TABLET,ORAL,STATEX TAB 10MG,10,5,9,35,70,150,MARKETED
53,647217,NA,MORPHINE SULFATE 10 MG,SYRUP,ORAL,STATEX SYRUP 10MG/ML,10,5,9,35,70,150,CANCELLED POST MARKET
118,2009765,Keep,MORPHINE SULFATE 10 MG,TABLET,ORAL,M.O.S. SULPHATE 10MG TAB,10,5,9,35,70,150,CANCELLED POST MARKET
122,2014211,Keep,MORPHINE SULFATE 10 MG,TABLET (IMMEDIATE RELEASE),ORAL,MS.IR,10,5,9,35,70,150,MARKETED
130,2019930,Keep,MORPHINE SULFATE 10 MG,CAPSULE (EXTENDED RELEASE),ORAL,M-ESLON,10,5,9,35,70,150,MARKETED
182,2242163,Keep,MORPHINE SULFATE 10 MG,CAPSULE (SUSTAINED-RELEASE),ORAL,KADIAN,10,5,9,35,70,150,MARKETED
282,2320428,Keep,MORPHINE SULFATE 10 MG,CAPSULE (IMMEDIATE RELEASE),ORAL,M-EDIAT,10,5,9,35,70,150,MARKETED
48,632201,Keep,MORPHINE SULFATE 10 MG,SUPPOSITORY,RECTAL,STATEX-SUPPOSITORIES 10MG,30,2,3,14,28,60,MARKETED
112,1988743,NA,MORPHINE SULFATE 100 MG,TABLET (EXTENDED-RELEASE),ORAL,ORAMORPH SR TABLETS 100MG,100,0,1,0,0,0,CANCELLED POST MARKET
127,2014319,NA,MORPHINE SULFATE 100 MG,TABLET (EXTENDED-RELEASE),ORAL,MS CONTIN SRT 100MG,100,0,1,0,0,0,MARKETED
133,2019965,NA,MORPHINE SULFATE 100 MG,CAPSULE (EXTENDED RELEASE),ORAL,M-ESLON,100,0,1,0,0,0,MARKETED
159,2184451,NA,MORPHINE SULFATE 100 MG,CAPSULE (SUSTAINED-RELEASE),ORAL,KADIAN,100,0,1,0,0,0,MARKETED
196,2245287,NA,MORPHINE SULFATE 100 MG,TABLET (EXTENDED-RELEASE),ORAL,PMS-MORPHINE SULFATE SR 100 MG,100,0,1,0,0,0,CANCELLED POST MARKET
257,2302799,NA,MORPHINE SULFATE 100 MG,TABLET (EXTENDED-RELEASE),ORAL,TEVA-MORPHINE SR,100,0,1,0,0,0,MARKETED
326,2346397,NA,MORPHINE SULFATE 100 MG,TABLET (EXTENDED-RELEASE),ORAL,NTP-MORPHINE SR,100,0,1,0,0,0,CANCELLED PRE MARKET
333,2350920,NA,MORPHINE SULFATE 100 MG,TABLET (EXTENDED-RELEASE),ORAL,MORPHINE SR,100,0,1,0,0,0,CANCELLED POST MARKET
427,2453851,NA,MORPHINE SULFATE 100 MG,TABLET (EXTENDED-RELEASE),ORAL,BAR-MORPHINE SR,100,0,1,0,0,0,APPROVED
448,2478889,NA,MORPHINE SULFATE 100 MG,TABLET (EXTENDED-RELEASE),ORAL,SANDOZ MORPHINE SR,100,0,1,0,0,0,NA
