,DIN,Keep,Opioid,Form,Route,Brand,MED_per_dispensing_unit,No_tabs/ml assuming 50 MED limit per day,No_tabs/ml assuming 90 MED limit per day,Maximum No_tabs/ml assuming 50 MED limit for 7 days,Maximum No_tabs/ml assuming 50 MED limit for 14 days,Maximum No_tabs/ml assuming 50 MED limit for 30 days,Status1
29,593451,Keep,CODEINE PHOSPHATE 30 MG,TABLET,ORAL,TEVA-CODEINE,4.5,11,20,77,154,330,MARKETED
30,594636,NA,MORPHINE SULFATE 25 MG,TABLET,ORAL,STATEX TABLET 25MG,25,2,4,14,28,60,MARKETED
31,594644,Keep,MORPHINE SULFATE 10 MG,TABLET,ORAL,STATEX TAB 10MG,10,5,9,35,70,150,MARKETED
32,594652,Keep,MORPHINE SULFATE 5 MG,TABLET,ORAL,STATEX TAB 5MG,5,10,18,70,140,300,MARKETED
33,596965,NA,MORPHINE SULFATE 20 MG,SUPPOSITORY,RECTAL,STATEX SUPPOSITORIES 20MG,60,1,2,7,14,30,MARKETED
34,599131,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,ACETAMINOPHEN COMPOUND TABLETS WITH CODEINE 8MG,1.2,42,75,294,588,1260,CANCELLED POST MARKET
35,607762,Keep,MORPHINE HYDROCHLORIDE 1 MG,SYRUP,ORAL,RATIO-MORPHINE,1,50,90,350,700,1500,CANCELLED POST MARKET
36,607770,Keep,MORPHINE HYDROCHLORIDE 5 MG,SYRUP,ORAL,RATIO-MORPHINE,5,10,18,70,140,300,CANCELLED POST MARKET
37,608157,NA,OXYCODONE HYDROCHLORIDE 5 MG,TABLET,ORAL,TEVA-OXYCODAN,7.5,7,12,49,98,210,APPROVED
38,608165,NA,OXYCODONE HYDROCHLORIDE 5 MG,TABLET,ORAL,TEVA-OXYCOCET,7.5,7,12,49,98,210,APPROVED
39,608181,Keep,CODEINE PHOSPHATE 30 MG,CAPSULE,ORAL,TEVA-TECNAL C 1/2,4.5,11,20,77,154,330,APPROVED
40,608203,Keep,CODEINE PHOSPHATE 15 MG,CAPSULE,ORAL,TEVA-TECNAL C 1/4,2.25,22,40,154,308,660,APPROVED
41,608882,Keep,CODEINE PHOSPHATE 30 MG,TABLET,ORAL,TEVA-EMTEC-30,4.5,11,20,77,154,330,MARKETED
42,614491,Keep,MORPHINE HYDROCHLORIDE 1 MG,SYRUP,ORAL,DOLORAL 1,1,50,90,350,700,1500,MARKETED
43,614505,Keep,MORPHINE HYDROCHLORIDE 5 MG,SYRUP,ORAL,DOLORAL 5 SIROP 5MG/ML,5,10,18,70,140,300,MARKETED
44,615528,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,NOVO-GESIC-C8,1.2,42,75,294,588,1260,CANCELLED POST MARKET
45,617059,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,ACETAMINOPHEN 500 MG COMPOUND TABLETS WITH CODEINE,1.2,42,75,294,588,1260,CANCELLED POST MARKET
46,621463,Keep,CODEINE PHOSPHATE 60 MG,TABLET,ORAL,TEVA-LENOLTEC NO. 4,9,6,10,42,84,180,APPROVED
47,621935,NA,MORPHINE SULFATE 20 MG,DROPS,ORAL,STATEX DROPS 20MG/ML,20,2,4,14,28,60,CANCELLED POST MARKET
48,632201,Keep,MORPHINE SULFATE 10 MG,SUPPOSITORY,RECTAL,STATEX-SUPPOSITORIES 10MG,30,2,3,14,28,60,MARKETED
49,632228,Keep,MORPHINE SULFATE 5 MG,SUPPOSITORY,RECTAL,STATEX SUPPOSITORIES 5MG,15,3,6,21,42,90,MARKETED
50,632481,NA,MORPHINE HYDROCHLORIDE 20 MG,SYRUP,ORAL,M.O.S. 20 CONCENTRATE 20MG/ML,20,2,4,14,28,60,CANCELLED POST MARKET
51,632503,NA,MORPHINE HYDROCHLORIDE 10 MG,SYRUP,ORAL,M.O.S. 10 SYRUP 10MG/ML,10,5,9,35,70,150,CANCELLED POST MARKET
52,639389,NA,MORPHINE SULFATE 30 MG,SUPPOSITORY,RECTAL,STATEX SUPPOSITORIES 30MG,90,1,1,7,14,30,MARKETED
53,647217,NA,MORPHINE SULFATE 10 MG,SYRUP,ORAL,STATEX SYRUP 10MG/ML,10,5,9,35,70,150,CANCELLED POST MARKET
54,653233,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,RATIO-LENOLTEC NO 1,1.2,42,75,294,588,1260,MARKETED
55,653241,Keep,CODEINE PHOSPHATE 15 MG,TABLET,ORAL,TEVA-LENOLTEC NO. 2,2.25,22,40,154,308,660,MARKETED
56,653276,Keep,CODEINE PHOSPHATE 30 MG,TABLET,ORAL,TEVA-LENOLTEC NO. 3,4.5,11,20,77,154,330,APPROVED
57,675962,NA,MORPHINE SULFATE 50 MG,TABLET,ORAL,STATEX TABLETS 50MG,50,1,2,7,14,30,MARKETED
58,688851,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,AC&C TABLETS,1.2,42,75,294,588,1260,CANCELLED POST MARKET
59,690198,Keep,MORPHINE HYDROCHLORIDE 10 MG,TABLET,ORAL,M.O.S. 10 TABLETS 10MG,10,5,9,35,70,150,CANCELLED POST MARKET
60,690201,NA,MORPHINE HYDROCHLORIDE 20 MG,TABLET,ORAL,M.O.S.-20 TAB 20MG,20,2,4,14,28,60,CANCELLED POST MARKET
61,690228,NA,MORPHINE HYDROCHLORIDE 40 MG,TABLET,ORAL,M.O.S.-40 TAB 40MG,40,1,2,7,14,30,CANCELLED POST MARKET
62,690236,NA,MORPHINE HYDROCHLORIDE 50 MG,SYRUP,ORAL,M.O.S.-50 CONCENTRATE LIQ 50MG/ML,50,1,2,7,14,30,CANCELLED POST MARKET
63,690244,NA,MORPHINE HYDROCHLORIDE 60 MG,TABLET,ORAL,M.O.S.-60 TAB 60MG,60,1,2,7,14,30,CANCELLED POST MARKET
64,690783,NA,MORPHINE HYDROCHLORIDE 10 MG,SYRUP,ORAL,RATIO-MORPHINE,10,5,9,35,70,150,CANCELLED POST MARKET
65,690791,NA,MORPHINE HYDROCHLORIDE 20 MG,SYRUP,ORAL,RATIO-MORPHINE,20,2,4,14,28,60,CANCELLED POST MARKET
66,705438,Keep,HYDROMORPHONE HYDROCHLORIDE 1 MG,TABLET,ORAL,DILAUDID,5,10,18,70,140,300,MARKETED
67,705799,NA,MORPHINE SULFATE 50 MG,DROPS,ORAL,STATEX DPS 50MG/ML,50,1,2,7,14,30,CANCELLED POST MARKET
68,706221,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,ACETAMINOPHEN 325 MG WITH 15 MG CAFFEINE AND 8 MG CODEINE PHOSPHATE,1.2,42,75,294,588,1260,MARKETED
69,706515,Keep,CODEINE PHOSPHATE 15 MG,TABLET,ORAL,ACET 2,2.25,22,40,154,308,660,CANCELLED POST MARKET
70,708712,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,ACETAMINOPHEN 500 MG WITH 15 MG CAFFEINE AND 8 MG CODEINE PHOSPHATE,1.2,42,75,294,588,1260,CANCELLED POST MARKET
71,776181,NA,MORPHINE HYDROCHLORIDE 30 MG,TABLET (EXTENDED-RELEASE),ORAL,M.O.S. SR TABLETS 30MG,30,2,3,14,28,60,CANCELLED POST MARKET
72,776203,NA,MORPHINE HYDROCHLORIDE 60 MG,TABLET (EXTENDED-RELEASE),ORAL,M.O.S. SR TABLETS 60MG,60,1,2,7,14,30,CANCELLED POST MARKET
73,779458,Keep,CODEINE PHOSPHATE 15 MG,TABLET,ORAL,CODEINE TAB 15MG,2.25,22,40,154,308,660,CANCELLED POST MARKET
74,786543,NA,HYDROMORPHONE HYDROCHLORIDE 8 MG,TABLET,ORAL,DILAUDID,40,1,2,7,14,30,MARKETED
75,789739,NA,OXYCODONE HYDROCHLORIDE 5 MG,TABLET,ORAL,SUPEUDOL 5,7.5,7,12,49,98,210,MARKETED
76,789828,Keep,CODEINE PHOSPHATE 30 MG,TABLET,ORAL,TRIATEC-30,4.5,11,20,77,154,330,MARKETED
77,816027,NA,CODEINE PHOSPHATE 8 MG,ELIXIR,ORAL,PMS-ACETAMINOPHEN WITH CODEINE ELIXIR,1.6,208,375,1456,2912,6240,MARKETED
78,834319,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,ACETAZONE FORTE C8,1.2,42,75,294,588,1260,MARKETED
79,852163,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,TRIATEC-8,1.2,42,75,294,588,1260,MARKETED
80,885401,NA,HYDROMORPHONE HYDROCHLORIDE 4 MG,TABLET,ORAL,PMS-HYDROMORPHONE TAB 4MG,20,2,4,14,28,60,MARKETED
81,885428,NA,HYDROMORPHONE HYDROCHLORIDE 8 MG,TABLET,ORAL,PMS-HYDROMORPHONE TAB 8MG,40,1,2,7,14,30,MARKETED
82,885436,Keep,HYDROMORPHONE HYDROCHLORIDE 2 MG,TABLET,ORAL,PMS-HYDROMORPHONE TAB 2MG,10,5,9,35,70,150,MARKETED
83,885444,Keep,HYDROMORPHONE HYDROCHLORIDE 1 MG,TABLET,ORAL,PMS-HYDROMORPHONE TAB 1MG,5,10,18,70,140,300,MARKETED
84,1901869,NA,OPIUM 65 MG,SUPPOSITORY,RECTAL,SANDOZ OPIUM & BELLADONNA,Couldn't be calculated,NA,NA,NA,NA,NA,MARKETED
85,1909304,NA,CODEINE PHOSPHATE 64.8 MG,CAPSULE,ORAL,PHENAPHEN NO 4 CAP,9.72,5,9,35,70,150,CANCELLED POST MARKET
86,1916386,Keep,HYDROMORPHONE HYDROCHLORIDE 1 MG,SYRUP,ORAL,PMS HYDROMORPHONE SIROP 1MG/ML,5,2,4,14,28,60,MARKETED
87,1916394,NA,HYDROMORPHONE HYDROCHLORIDE 3 MG,SUPPOSITORY,RECTAL,PMS HYDROMORPHONE SUPPOSITOIRE 3MG,45,1,2,7,14,30,MARKETED
88,1916475,NA,OXYCODONE HYDROCHLORIDE 5 MG,TABLET,ORAL,PERCOCET,7.5,7,12,49,98,210,CANCELLED POST MARKET
89,1916483,NA,OXYCODONE HYDROCHLORIDE 5 MG,TABLET,ORAL,ENDODAN,7.5,7,12,49,98,210,CANCELLED POST MARKET
90,1916491,NA,OXYCODONE HYDROCHLORIDE 2.5 MG,TABLET,ORAL,PERCOCET-DEMI,3.75,13,24,91,182,390,CANCELLED POST MARKET
91,1916513,NA,OXYMORPHONE HYDROCHLORIDE 5 MG,SUPPOSITORY,RECTAL,NUMORPHAN SUPPOSITORY 5MG,NA,NA,NA,NA,NA,NA,CANCELLED POST MARKET
92,1916548,NA,OXYCODONE HYDROCHLORIDE 5 MG,TABLET,ORAL,ENDOCET,7.5,7,12,49,98,210,CANCELLED POST MARKET
93,1916556,NA,OXYCODONE HYDROCHLORIDE 2.5 MG,TABLET,ORAL,PERCODAN-DEMI,3.75,13,24,91,182,390,CANCELLED POST MARKET
94,1916572,NA,OXYCODONE HYDROCHLORIDE 5 MG,TABLET,ORAL,PERCODAN,7.5,7,12,49,98,210,CANCELLED POST MARKET
95,1922246,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,A.C.& C TABLETS,1.2,42,75,294,588,1260,DORMANT
96,1934767,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,ROBAXACET-8,1.2,42,75,294,588,1260,MARKETED
97,1934775,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,ROBAXISAL C-1/8 TABLETS,1.2,42,75,294,588,1260,CANCELLED POST MARKET
98,1934783,NA,CODEINE PHOSPHATE 16.2 MG,TABLET,ORAL,ROBAXISAL C 1/4,2.43,21,37,147,294,630,MARKETED
99,1934791,NA,CODEINE PHOSPHATE 32.4 MG,TABLET,ORAL,ROBAXISAL C 1/2,4.86,10,19,70,140,300,MARKETED
100,1937383,NA,FENTANYL 25 MCG,PATCH,TRANSDERMAL,DURAGESIC 25,100,0,1,0,0,0,CANCELLED POST MARKET
101,1937391,NA,FENTANYL 50 MCG,PATCH,TRANSDERMAL,DURAGESIC 50,200,0,0,0,0,0,CANCELLED POST MARKET
102,1937405,NA,FENTANYL 75 MCG,PATCH,TRANSDERMAL,DURAGESIC 75,300,0,0,0,0,0,CANCELLED POST MARKET
103,1937413,NA,FENTANYL 100 MCG,PATCH,TRANSDERMAL,DURAGESIC 100,400,0,0,0,0,0,CANCELLED POST MARKET
104,1941895,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,METHOXISAL-C 1/8,1.2,42,75,294,588,1260,DORMANT
105,1966367,NA,CODEINE PHOSPHATE 16.2 MG,TABLET,ORAL,METHOXISAL-C 1/4,2.43,21,37,147,294,630,CANCELLED POST MARKET
106,1966375,NA,CODEINE PHOSPHATE 32.4 MG,TABLET,ORAL,METHOXISAL-C 1/2,4.86,10,19,70,140,300,CANCELLED POST MARKET
107,1971387,Keep,CODEINE PHOSPHATE 30 MG,CAPSULE,ORAL,TRIANAL C½,4.5,11,20,77,154,330,MARKETED
108,1977881,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,TRIATEC-8 FORT,1.2,42,75,294,588,1260,DORMANT
109,1979914,NA,HYDROMORPHONE HYDROCHLORIDE 3 MG,SUPPOSITORY,RECTAL,HYDROMORPHONE HYDROCHLORIDE SUP 3MG,45,1,2,7,14,30,CANCELLED POST MARKET
110,1988727,NA,MORPHINE SULFATE 30 MG,TABLET (EXTENDED-RELEASE),ORAL,ORAMORPH SR TABLETS 30MG,30,2,3,14,28,60,CANCELLED POST MARKET
111,1988735,NA,MORPHINE SULFATE 60 MG,TABLET (EXTENDED-RELEASE),ORAL,ORAMORPH SR TABLETS 60MG,60,1,2,7,14,30,CANCELLED POST MARKET
112,1988743,NA,MORPHINE SULFATE 100 MG,TABLET (EXTENDED-RELEASE),ORAL,ORAMORPH SR TABLETS 100MG,100,0,1,0,0,0,CANCELLED POST MARKET
113,1999648,Keep,CODEINE PHOSPHATE 30 MG,TABLET,ORAL,ACET CODEINE 30,4.5,11,20,77,154,330,CANCELLED POST MARKET
114,1999656,Keep,CODEINE PHOSPHATE 60 MG,TABLET,ORAL,ACET CODEINE 60,9,6,10,42,84,180,CANCELLED POST MARKET
115,2009706,NA,MORPHINE SULFATE 50 MG,TABLET,ORAL,M.O.S. SULPHATE 50MG TAB,50,1,2,7,14,30,CANCELLED POST MARKET
116,2009749,NA,MORPHINE SULFATE 25 MG,TABLET,ORAL,M.O.S. SULPHATE 25MG TAB,25,2,4,14,28,60,CANCELLED POST MARKET
117,2009757,Keep,CODEINE PHOSPHATE 30 MG,TABLET,ORAL,CODEINE 30,4.5,11,20,77,154,330,MARKETED
118,2009765,Keep,MORPHINE SULFATE 10 MG,TABLET,ORAL,M.O.S. SULPHATE 10MG TAB,10,5,9,35,70,150,CANCELLED POST MARKET
119,2009773,Keep,MORPHINE SULFATE 5 MG,TABLET,ORAL,M.O.S. SULPHATE 5MG TAB,5,10,18,70,140,300,CANCELLED POST MARKET
120,2009889,Keep,CODEINE PHOSPHATE 15 MG,TABLET,ORAL,CODEINE 15,2.25,22,40,154,308,660,MARKETED
121,2014203,Keep,MORPHINE SULFATE 5 MG,TABLET (IMMEDIATE RELEASE),ORAL,MS.IR,5,10,18,70,140,300,MARKETED
122,2014211,Keep,MORPHINE SULFATE 10 MG,TABLET (IMMEDIATE RELEASE),ORAL,MS.IR,10,5,9,35,70,150,MARKETED
123,2014238,NA,MORPHINE SULFATE 20 MG,TABLET (IMMEDIATE RELEASE),ORAL,MS.IR,20,2,4,14,28,60,MARKETED
124,2014254,NA,MORPHINE SULFATE 30 MG,TABLET (IMMEDIATE RELEASE),ORAL,MS.IR,30,2,3,14,28,60,MARKETED
125,2014297,NA,MORPHINE SULFATE 30 MG,TABLET (EXTENDED-RELEASE),ORAL,MS CONTIN SRT 30MG,30,2,3,14,28,60,MARKETED
126,2014300,NA,MORPHINE SULFATE 60 MG,TABLET (EXTENDED-RELEASE),ORAL,MS CONTIN SRT 60MG,60,1,2,7,14,30,MARKETED
127,2014319,NA,MORPHINE SULFATE 100 MG,TABLET (EXTENDED-RELEASE),ORAL,MS CONTIN SRT 100MG,100,0,1,0,0,0,MARKETED
128,2014327,NA,MORPHINE SULFATE 200 MG,TABLET (EXTENDED-RELEASE),ORAL,MS CONTIN SRT 200MG,200,0,0,0,0,0,MARKETED
129,2015439,NA,MORPHINE SULFATE 15 MG,TABLET (EXTENDED-RELEASE),ORAL,MS CONTIN SRT 15MG,15,3,6,21,42,90,MARKETED
130,2019930,Keep,MORPHINE SULFATE 10 MG,CAPSULE (EXTENDED RELEASE),ORAL,M-ESLON,10,5,9,35,70,150,MARKETED
131,2019949,NA,MORPHINE SULFATE 30 MG,CAPSULE (EXTENDED RELEASE),ORAL,M-ESLON,30,2,3,14,28,60,MARKETED
132,2019957,NA,MORPHINE SULFATE 60 MG,CAPSULE (EXTENDED RELEASE),ORAL,M-ESLON,60,1,2,7,14,30,MARKETED
133,2019965,NA,MORPHINE SULFATE 100 MG,CAPSULE (EXTENDED RELEASE),ORAL,M-ESLON,100,0,1,0,0,0,MARKETED
134,2025337,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,"ACETAMINOPHEN, CAFFEINE & CODEINE",1.2,42,75,294,588,1260,MARKETED
135,2028174,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,"ACETAMINOPHEN, CAFFEINE & CODEINE",1.2,42,75,294,588,1260,MARKETED
136,2047667,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,MERSYNDOL WITH CODEINE,1.2,42,75,294,588,1260,MARKETED
137,2125323,NA,HYDROMORPHONE HYDROCHLORIDE 3 MG,CAPSULE (SUSTAINED-RELEASE),ORAL,HYDROMORPH CONTIN-CONTROLLED RELEASE CAP - 3MG,15,3,6,21,42,90,MARKETED
138,2125331,NA,HYDROMORPHONE HYDROCHLORIDE 6 MG,CAPSULE (SUSTAINED-RELEASE),ORAL,HYDROMORPH CONTIN-CONTROLLED RELEASE CAP - 6MG,30,2,3,14,28,60,MARKETED
139,2125366,NA,HYDROMORPHONE HYDROCHLORIDE 12 MG,CAPSULE (SUSTAINED-RELEASE),ORAL,HYDROMORPH CONTIN-CONTROLLED RELEASE CAP - 12MG,60,1,2,7,14,30,MARKETED
140,2125382,NA,HYDROMORPHONE HYDROCHLORIDE 24 MG,CAPSULE (SUSTAINED-RELEASE),ORAL,HYDROMORPH CONTIN-CONTROLLED RELEASE CAP - 24MG,120,0,1,0,0,0,MARKETED
141,2125390,NA,HYDROMORPHONE HYDROCHLORIDE 30 MG,CAPSULE (SUSTAINED-RELEASE),ORAL,HYDROMORPH CONTIN-CONTROLLED RELEASE CAP - 30MG,150,0,1,0,0,0,MARKETED
142,2137984,NA,PENTAZOCINE (PENTAZOCINE HYDROCHLORIDE) 50 MG,TABLET,ORAL,TALWIN,8.3,6,11,42,84,180,MARKETED
143,2138018,NA,MEPERIDINE HYDROCHLORIDE 50 MG,TABLET,ORAL,DEMEROL,5,10,18,70,140,300,MARKETED
144,2143933,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,ACETAMINOPHEN WITH CODEINE - CAPLET,1.2,42,75,294,588,1260,MARKETED
145,2154234,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,ACETAMINOPHEN 300 MG WITH 15 MG CAFFEINE AND 8 MG CODEINE PHOSPHATE,1.2,42,75,294,588,1260,MARKETED
146,2163748,NA,"CODEINE (CODEINE MONOHYDRATE, Codeine Sulfate Trihydrate) 100 MG",TABLET (EXTENDED-RELEASE),ORAL,CODEINE CONTIN 100MG CONTROLLED RELEASE TAB,15,3,6,21,42,90,MARKETED
147,2163780,NA,"CODEINE (CODEINE MONOHYDRATE, Codeine Sulfate Trihydrate) 150 MG",TABLET (EXTENDED-RELEASE),ORAL,CODEINE CONTIN 150MG CONTROLLED RELEASE TAB,22.5,2,4,14,28,60,MARKETED
148,2163799,NA,"CODEINE (CODEINE MONOHYDRATE, Codeine Sulfate Trihydrate) 200 MG",TABLET (EXTENDED-RELEASE),ORAL,CODEINE CONTIN 200MG CONTROLLED RELEASE TAB,30,2,3,14,28,60,MARKETED
149,2163918,Keep,CODEINE PHOSPHATE 60 MG,TABLET,ORAL,TYLENOL WITH CODEINE NO. 4,9,6,10,42,84,180,MARKETED
150,2163926,Keep,CODEINE PHOSPHATE 30 MG,TABLET,ORAL,TYLENOL WITH CODEINE NO. 3 - TAB,4.5,11,20,77,154,330,MARKETED
151,2163934,Keep,CODEINE PHOSPHATE 15 MG,TABLET,ORAL,TYLENOL WITH CODEINE NO. 2 - TAB,2.25,22,40,154,308,660,MARKETED
152,2163942,NA,CODEINE PHOSPHATE 8 MG,ELIXIR,ORAL,TYLENOL WITH CODEINE ELIXIR,1.6,208,375,1456,2912,6240,CANCELLED POST MARKET
153,2177749,NA,MORPHINE SULFATE 15 MG,CAPSULE (EXTENDED RELEASE),ORAL,M-ESLON,15,3,6,21,42,90,MARKETED
154,2177757,NA,MORPHINE SULFATE 200 MG,CAPSULE (EXTENDED RELEASE),ORAL,M-ESLON,200,0,0,0,0,0,MARKETED
155,2181061,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,TYLENOL NO.1 CAPLETS,1.2,42,75,294,588,1260,CANCELLED POST MARKET
156,2181088,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,TYLENOL NO.1 FORTE CAPLETS,1.2,42,75,294,588,1260,CANCELLED POST MARKET
157,2184435,NA,MORPHINE SULFATE 20 MG,CAPSULE (SUSTAINED-RELEASE),ORAL,KADIAN,20,2,4,14,28,60,MARKETED
158,2184443,NA,MORPHINE SULFATE 50 MG,CAPSULE (SUSTAINED-RELEASE),ORAL,KADIAN,50,1,2,7,14,30,MARKETED
159,2184451,NA,MORPHINE SULFATE 100 MG,CAPSULE (SUSTAINED-RELEASE),ORAL,KADIAN,100,0,1,0,0,0,MARKETED
160,2192101,Keep,HYDROMORPHONE HYDROCHLORIDE 1 MG,TABLET,ORAL,HYDROMORPHONE,5,10,18,70,140,300,CANCELLED POST MARKET
161,2192144,NA,HYDROMORPHONE HYDROCHLORIDE 8 MG,TABLET,ORAL,HYDROMORPHONE,40,1,2,7,14,30,CANCELLED POST MARKET
162,2202441,NA,OXYCODONE HYDROCHLORIDE 10 MG,TABLET (EXTENDED-RELEASE),ORAL,OXYCONTIN 10MG,15,3,6,21,42,90,CANCELLED POST MARKET
163,2202468,NA,OXYCODONE HYDROCHLORIDE 20 MG,TABLET (EXTENDED-RELEASE),ORAL,OXYCONTIN 20MG,30,2,3,14,28,60,CANCELLED POST MARKET
164,2202476,NA,OXYCODONE HYDROCHLORIDE 40 MG,TABLET (EXTENDED-RELEASE),ORAL,OXYCONTIN 40MG,60,1,2,7,14,30,CANCELLED POST MARKET
165,2202484,NA,OXYCODONE HYDROCHLORIDE 80 MG,TABLET (EXTENDED-RELEASE),ORAL,OXYCONTIN 80MG,120,0,1,0,0,0,CANCELLED POST MARKET
